"시도별","산업별","항목","시점",데이터
"전국","음식점 및 주점업","사업체수","2017",691751
"전국","음식점 및 주점업","사업체수","2018",709014
"전국","음식점 및 주점업","사업체수","2019",727377
"전국","음식점 및 주점업","9석 이하","2017",72864
"전국","음식점 및 주점업","9석 이하","2018",91208
"전국","음식점 및 주점업","9석 이하","2019",97595
"전국","음식점 및 주점업","10～19석","2017",107181
"전국","음식점 및 주점업","10～19석","2018",102552
"전국","음식점 및 주점업","10～19석","2019",114682
"전국","음식점 및 주점업","20～29석","2017",137896
"전국","음식점 및 주점업","20～29석","2018",142478
"전국","음식점 및 주점업","20～29석","2019",142034
"전국","음식점 및 주점업","30～49석","2017",171033
"전국","음식점 및 주점업","30～49석","2018",192000
"전국","음식점 및 주점업","30～49석","2019",182095
"전국","음식점 및 주점업","50～99석","2017",150595
"전국","음식점 및 주점업","50～99석","2018",130970
"전국","음식점 및 주점업","50～99석","2019",141049
"전국","음식점 및 주점업","100석 이상","2017",52182
"전국","음식점 및 주점업","100석 이상","2018",49807
"전국","음식점 및 주점업","100석 이상","2019",49922
"전국","음식점업","사업체수","2017",496915
"전국","음식점업","사업체수","2018",506407
"전국","음식점업","사업체수","2019",518794
"전국","음식점업","9석 이하","2017",59748
"전국","음식점업","9석 이하","2018",71873
"전국","음식점업","9석 이하","2019",74285
"전국","음식점업","10～19석","2017",73552
"전국","음식점업","10～19석","2018",63552
"전국","음식점업","10～19석","2019",74699
"전국","음식점업","20～29석","2017",88512
"전국","음식점업","20～29석","2018",93004
"전국","음식점업","20～29석","2019",91544
"전국","음식점업","30～49석","2017",117175
"전국","음식점업","30～49석","2018",135401
"전국","음식점업","30～49석","2019",127459
"전국","음식점업","50～99석","2017",115550
"전국","음식점업","50～99석","2018",102476
"전국","음식점업","50～99석","2019",108912
"전국","음식점업","100석 이상","2017",42377
"전국","음식점업","100석 이상","2018",40101
"전국","음식점업","100석 이상","2019",41895
"전국","한식 음식점업","사업체수","2017",310692
"전국","한식 음식점업","사업체수","2018",313562
"전국","한식 음식점업","사업체수","2019",317225
"전국","한식 음식점업","9석 이하","2017",19141
"전국","한식 음식점업","9석 이하","2018",21320
"전국","한식 음식점업","9석 이하","2019",21691
"전국","한식 음식점업","10～19석","2017",33937
"전국","한식 음식점업","10～19석","2018",29437
"전국","한식 음식점업","10～19석","2019",33866
"전국","한식 음식점업","20～29석","2017",54238
"전국","한식 음식점업","20～29석","2018",56697
